date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:38	20454/20454	U--MC-	200	updated ('OK')	text/html	date:Fri,%2014%20Sep%202018%2013:28:38%20GMT	http://localhost/solomon/	C:/My%20Web%20Sites/Solomon/localhost/solomon/index.html	(from )
16:28:38	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Sep%202018%2013:28:38%20GMT	http://localhost/robots.txt		(from )
16:28:39	1010/1010	U-----	200	untouched ('OK')	text/css	etag:%223f2-546e34acca780%22	http://localhost/solomon/wp-content/plugins/widget-options/assets/css/widget-options.css	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-content/plugins/widget-options/assets/css/widget-options.css	(from http://localhost/solomon/)
16:28:39	70808/70808	U-----	200	untouched ('OK')	text/css	etag:%2211498-5751ed3502da6%22	http://localhost/solomon/wp-content/themes/total/css/animate.css?ver=1.0	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-content/themes/total/css/animate5152.css	(from http://localhost/solomon/)
16:28:39	27392/27392	U-----	200	untouched ('OK')	text/css	etag:%226b00-534b35d7fcc00%22	http://localhost/solomon/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=4.12	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min0147.css	(from http://localhost/solomon/)
16:28:40	45/45	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2014%20Sep%202018%2013:28:39%20GMT	http://localhost/solomon/xmlrpc.php	C:/My%20Web%20Sites/Solomon/localhost/solomon/xmlrpc.php	(from http://localhost/solomon/)
16:28:40	6646/6646	U-----	200	untouched ('')	application/rss+xml	etag:%226a91d02f55758ee535c1b894bd742588%22	http://localhost/solomon/feed/	C:/My%20Web%20Sites/Solomon/localhost/solomon/feed/index.html	(from http://localhost/solomon/)
16:28:40	4316/4316	U-----	200	untouched ('OK')	text/css	etag:%2210dc-5751ed3518954%22	http://localhost/solomon/wp-content/themes/total/css/owl.carousel.css?ver=1.3.3	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-content/themes/total/css/owl.carousel3ba1.css	(from http://localhost/solomon/)
16:28:40	706/706	U-----	200	untouched ('')	application/rss+xml	etag:%22e8ba8ac37f8c7ec6c3ae151e533cc65f%22	http://localhost/solomon/comments/feed/	C:/My%20Web%20Sites/Solomon/localhost/solomon/comments/feed/index.html	(from http://localhost/solomon/)
16:28:40	783/783	U-----	200	untouched ('OK')	text/css	etag:%2230f-5751ed351cbbc%22	http://localhost/solomon/wp-content/themes/total/css/superfish.css?ver=1.3.3	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-content/themes/total/css/superfish3ba1.css	(from http://localhost/solomon/)
16:28:40	63463/63463	U-----	200	untouched ('OK')	text/css	etag:%22f7e7-5751ed34fe36d%22	http://localhost/solomon/wp-content/themes/total/style.css?ver=1.0	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-content/themes/total/style5152.css	(from http://localhost/solomon/)
16:28:41	456194/456194	U-----	200	untouched ('OK')	text/css	etag:%226f602-534b35d243e80%22	http://localhost/solomon/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.12	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-content/plugins/js_composer/assets/css/js_composer.min0147.css	(from http://localhost/solomon/)
16:28:41	20555/20555	U-----	200	untouched ('')	application/javascript	etag:%22504b-5751ed362759b%22	http://localhost/solomon/wp-content/themes/total/js/SmoothScroll.js?ver=1.00	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-content/themes/total/js/SmoothScroll84e2.js	(from http://localhost/solomon/)
16:28:41	97184/97184	U-----	200	untouched ('')	application/javascript	etag:%2217ba0-5750798ec004f%22	http://localhost/solomon/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-includes/js/jquery/jqueryb8ff.js	(from http://localhost/solomon/)
16:28:42	10056/10056	U-----	200	untouched ('')	application/javascript	etag:%222748-5750798ea8179%22	http://localhost/solomon/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/solomon/)
16:28:42	7994/7994	U-----	200	untouched ('')	application/javascript	etag:%221f3a-5750798c30b56%22	http://localhost/solomon/wp-includes/js/imagesloaded.min.js?ver=3.2.0	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-includes/js/imagesloaded.min55a0.js	(from http://localhost/solomon/)
16:28:42	23282/23282	U-----	200	untouched ('')	application/javascript	etag:%225af2-5751ed363c1a8%22	http://localhost/solomon/wp-content/themes/total/js/jquery.stellar.js?ver=1.00	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-content/themes/total/js/jquery.stellar84e2.js	(from http://localhost/solomon/)
16:28:44	1045/1045	U-----	200	untouched ('')	application/xml	etag:%22415-5750798381315%22	http://localhost/solomon/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-includes/wlwmanifest.xml	(from http://localhost/solomon/)
16:28:44	839/839	U-----	200	untouched ('')	text/xml	date:Fri,%2014%20Sep%202018%2013:05:37%20GMT	http://localhost/solomon/xmlrpc.php?rsd	C:/My%20Web%20Sites/Solomon/localhost/solomon/xmlrpc0db0.php	(from http://localhost/solomon/)
16:28:44	2175/2175	U-----	200	untouched ('')	application/json	date:Fri,%2014%20Sep%202018%2013:05:38%20GMT	http://localhost/solomon/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fsolomon%2F	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-json/oembed/1.0/embedc0a3.json	(from http://localhost/solomon/)
16:28:46	54869/54869	U--MC-	200	updated ('OK')	application/json	date:Fri,%2014%20Sep%202018%2013:28:43%20GMT	http://localhost/solomon/wp-json/	C:/My%20Web%20Sites/Solomon/localhost/solomon/wp-json/index.html	(from http://localhost/solomon/)
