date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:05:27	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Sep%202018%2013:05:26%20GMT	http://localhost/robots.txt		(from )
16:05:28	20454/20454	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Sep%202018%2013:05:26%20GMT	http://localhost/solomon/	C:/My%20Web%20Sites/solomon/localhost/solomon/index.html	(from )
16:05:29	45/45	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2014%20Sep%202018%2013:05:28%20GMT	http://localhost/solomon/xmlrpc.php	C:/My%20Web%20Sites/solomon/localhost/solomon/xmlrpc.php	(from http://localhost/solomon/)
16:05:29	1010/1010	---M--	200	added ('OK')	text/css	etag:%223f2-546e34acca780%22	http://localhost/solomon/wp-content/plugins/widget-options/assets/css/widget-options.css	C:/My%20Web%20Sites/solomon/localhost/solomon/wp-content/plugins/widget-options/assets/css/widget-options.css	(from http://localhost/solomon/)
16:05:29	70808/70808	---M--	200	added ('OK')	text/css	etag:%2211498-5751ed3502da6%22	http://localhost/solomon/wp-content/themes/total/css/animate.css?ver=1.0	C:/My%20Web%20Sites/solomon/localhost/solomon/wp-content/themes/total/css/animate5152.css	(from http://localhost/solomon/)
16:05:31	27392/27392	---M--	200	added ('OK')	text/css	etag:%226b00-534b35d7fcc00%22	http://localhost/solomon/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=4.12	C:/My%20Web%20Sites/solomon/localhost/solomon/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min0147.css	(from http://localhost/solomon/)
16:05:31	4316/4316	---M--	200	added ('OK')	text/css	etag:%2210dc-5751ed3518954%22	http://localhost/solomon/wp-content/themes/total/css/owl.carousel.css?ver=1.3.3	C:/My%20Web%20Sites/solomon/localhost/solomon/wp-content/themes/total/css/owl.carousel3ba1.css	(from http://localhost/solomon/)
16:05:31	8486/8486	---M--	200	added ('OK')	text/css	etag:%222126-5751ed3514ad3%22	http://localhost/solomon/wp-content/themes/total/css/nivo-lightbox.css?ver=1.3.3	C:/My%20Web%20Sites/solomon/localhost/solomon/wp-content/themes/total/css/nivo-lightbox3ba1.css	(from http://localhost/solomon/)
16:05:31	706/706	---M--	200	added ('OK')	application/rss+xml	etag:%22e8ba8ac37f8c7ec6c3ae151e533cc65f%22	http://localhost/solomon/comments/feed/	C:/My%20Web%20Sites/solomon/localhost/solomon/comments/feed/index.html	(from http://localhost/solomon/)
16:05:31	783/783	---M--	200	added ('OK')	text/css	etag:%2230f-5751ed351cbbc%22	http://localhost/solomon/wp-content/themes/total/css/superfish.css?ver=1.3.3	C:/My%20Web%20Sites/solomon/localhost/solomon/wp-content/themes/total/css/superfish3ba1.css	(from http://localhost/solomon/)
